utc_timestamp2017,wind_generation_actual2017,wind_capacity2017,temperature2017
2017-01-01 00:00:00+00:00,291760,37149.13,-2.117
2017-01-02 00:00:00+00:00,295097,37152.125,-1.154
2017-01-03 00:00:00+00:00,666170,37155.208,-0.239
2017-01-04 00:00:00+00:00,686581,37160.125,0.62
2017-01-05 00:00:00+00:00,261759,37163.542,-3.908
2017-01-06 00:00:00+00:00,115720,37176.208,-7.724
2017-01-07 00:00:00+00:00,252308,37181,-5.861
2017-01-08 00:00:00+00:00,41260,37181.25,-1.616
2017-01-09 00:00:00+00:00,190982,37187.458,-1.629
2017-01-10 00:00:00+00:00,280371,37198.458,-2.586
2017-01-11 00:00:00+00:00,637258,37209.667,-0.727
2017-01-12 00:00:00+00:00,584792,37225.375,1.425
2017-01-13 00:00:00+00:00,518614,37234,-0.231
2017-01-14 00:00:00+00:00,487188,37234,-0.738
2017-01-15 00:00:00+00:00,229770,37234.208,-2.331
2017-01-16 00:00:00+00:00,69211,37239.25,-4.995
2017-01-17 00:00:00+00:00,79360,37246,-6.056
2017-01-18 00:00:00+00:00,148835,37269.375,-6.832
2017-01-19 00:00:00+00:00,127989,37279.042,-6.843
2017-01-20 00:00:00+00:00,109379,37303.375,-5.269
2017-01-21 00:00:00+00:00,78896,37312.417,-4.74
2017-01-22 00:00:00+00:00,50770,37322.542,-6.362
2017-01-23 00:00:00+00:00,39708,37335.667,-6.339
2017-01-24 00:00:00+00:00,31375,37351.917,-4.964
2017-01-25 00:00:00+00:00,70771,37374.417,-5.516
2017-01-26 00:00:00+00:00,235128,37407.917,-5.183
2017-01-27 00:00:00+00:00,254272,37429,-4.477
2017-01-28 00:00:00+00:00,208800,37429,-3.29
2017-01-29 00:00:00+00:00,304954,37429.5,-0.69
2017-01-30 00:00:00+00:00,338288,37441.333,0.402
2017-01-31 00:00:00+00:00,124782,37449.667,-0.101
2017-02-01 00:00:00+00:00,221295,37465.625,-0.586
2017-02-02 00:00:00+00:00,254393,37480.75,1.655
2017-02-03 00:00:00+00:00,188035,37498,2.775
2017-02-04 00:00:00+00:00,211454,37498.25,2.529
2017-02-05 00:00:00+00:00,118329,37504.667,1.74
2017-02-06 00:00:00+00:00,152118,37520.292,0.192
2017-02-07 00:00:00+00:00,264514,37527.5,-0.467
2017-02-08 00:00:00+00:00,219680,37539.875,-1.916
2017-02-09 00:00:00+00:00,207537,37560.792,-3.184
2017-02-10 00:00:00+00:00,290957,37579.125,-2.467
2017-02-11 00:00:00+00:00,329649,37582,-0.959
2017-02-12 00:00:00+00:00,350274,37582.458,-0.893
2017-02-13 00:00:00+00:00,338184,37593.125,-1.107
2017-02-14 00:00:00+00:00,205086,37596.458,-0.422
2017-02-15 00:00:00+00:00,98877,37608.167,2.12
2017-02-16 00:00:00+00:00,282403,37636.167,3.702
2017-02-17 00:00:00+00:00,255286,37663,3.137
2017-02-18 00:00:00+00:00,160162,37663.25,2.587
2017-02-19 00:00:00+00:00,348513,37669.792,2.228
2017-02-20 00:00:00+00:00,648800,37688.875,5.28
2017-02-21 00:00:00+00:00,580921,37710.167,6.749
2017-02-22 00:00:00+00:00,826273,37738,7.353
2017-02-23 00:00:00+00:00,705405,37761.958,6.915
2017-02-24 00:00:00+00:00,522107,37784.375,2.206
2017-02-25 00:00:00+00:00,413770,37793,2.241
2017-02-26 00:00:00+00:00,545142,37794.458,5.047
2017-02-27 00:00:00+00:00,558406,37830.375,7.595
2017-02-28 00:00:00+00:00,602221,37885,4.232
2017-03-01 00:00:00+00:00,463548,37885.167,3.805
2017-03-02 00:00:00+00:00,640789,37889.167,4.735
2017-03-03 00:00:00+00:00,323881,37893.25,4.63
2017-03-04 00:00:00+00:00,253250,37899.25,7.565
2017-03-05 00:00:00+00:00,375784,37905.333,5.728
2017-03-06 00:00:00+00:00,244778,37913.333,4.165
2017-03-07 00:00:00+00:00,98965,37921.458,3.038
2017-03-08 00:00:00+00:00,362634,37932.292,3.658
2017-03-09 00:00:00+00:00,348589,37939.25,6.696
2017-03-10 00:00:00+00:00,301930,37945.208,4.873
2017-03-11 00:00:00+00:00,142767,37950.25,4.364
2017-03-12 00:00:00+00:00,322131,37956.125,3.7
2017-03-13 00:00:00+00:00,107995,37959.333,4.196
2017-03-14 00:00:00+00:00,282163,37967.292,6.6
2017-03-15 00:00:00+00:00,310125,37974.167,7.235
2017-03-16 00:00:00+00:00,235857,37978.417,7.654
2017-03-17 00:00:00+00:00,520783,37988.208,7.042
2017-03-18 00:00:00+00:00,666660,37993.25,6.253
2017-03-19 00:00:00+00:00,527129,37999.25,8.081
2017-03-20 00:00:00+00:00,540382,38005.583,9.241
2017-03-21 00:00:00+00:00,405314,38019.625,7.125
2017-03-22 00:00:00+00:00,168379,38035.042,5.15
2017-03-23 00:00:00+00:00,211125,38059.958,6.656
2017-03-24 00:00:00+00:00,152372,38082.375,6.482
2017-03-25 00:00:00+00:00,203031,38091,6.3
2017-03-26 00:00:00+00:00,79142,38092.167,6.311
2017-03-27 00:00:00+00:00,71217,38106.75,7.694
2017-03-28 00:00:00+00:00,111189,38128.833,10.284
2017-03-29 00:00:00+00:00,347694,38167.417,10.38
2017-03-30 00:00:00+00:00,213209,38254.083,12.413
2017-03-31 00:00:00+00:00,260810,38310.5,13.415
2017-04-01 00:00:00+00:00,82509,38316.5,12.607
2017-04-02 00:00:00+00:00,110511,38322.25,10.817
2017-04-03 00:00:00+00:00,58205,38325.5,9.252
2017-04-04 00:00:00+00:00,40668,38331.75,8.525
2017-04-05 00:00:00+00:00,333526,38341.583,7.948
2017-04-06 00:00:00+00:00,398402,38360,6.612
2017-04-07 00:00:00+00:00,404729,38371.5,7.747
2017-04-08 00:00:00+00:00,65959,38378,9.664
2017-04-09 00:00:00+00:00,96043,38390.583,12.103
2017-04-10 00:00:00+00:00,501671,38408,10.695
2017-04-11 00:00:00+00:00,363858,38408.917,7.487
2017-04-12 00:00:00+00:00,561134,38419.667,8.918
2017-04-13 00:00:00+00:00,470226,38428,8.265
2017-04-14 00:00:00+00:00,261473,38439,7.783
2017-04-15 00:00:00+00:00,537553,38439.5,7.711
2017-04-16 00:00:00+00:00,292343,38445,5.884
2017-04-17 00:00:00+00:00,211534,38445.5,4.863
