utc_timestamp2019,wind_generation_actual2019,wind_capacity2019,temperature2019
2017-01-01 00:00:00+00:00,815236,48974,4.291
2017-01-02 00:00:00+00:00,666610,48974,0.286
2017-01-03 00:00:00+00:00,288820,48974,-1.023
2017-01-04 00:00:00+00:00,550139,48974,0.625
2017-01-05 00:00:00+00:00,595733,48974,3.266
2017-01-06 00:00:00+00:00,245990,48974,2.542
2017-01-07 00:00:00+00:00,465916,48974.292,2.475
2017-01-08 00:00:00+00:00,962242,48981.333,3.388
2017-01-09 00:00:00+00:00,760415,48989,0.81
2017-01-10 00:00:00+00:00,172918,48989,-1.524
2017-01-11 00:00:00+00:00,510712,48989,0.408
2017-01-12 00:00:00+00:00,731114,48989,2.873
2017-01-13 00:00:00+00:00,907162,48989.292,4.613
2017-01-14 00:00:00+00:00,829824,48996,1.895
2017-01-15 00:00:00+00:00,829469,48996.292,1.938
2017-01-16 00:00:00+00:00,728908,49003.292,2.457
2017-01-17 00:00:00+00:00,737765,49010.167,2.133
2017-01-18 00:00:00+00:00,238374,49014,-1.636
2017-01-19 00:00:00+00:00,135330,49014,-3.009
2017-01-20 00:00:00+00:00,59278,49014,-3.784
2017-01-21 00:00:00+00:00,133394,49014,-4.363
2017-01-22 00:00:00+00:00,297140,49014,-4.931
2017-01-23 00:00:00+00:00,161608,49014.167,-5.313
2017-01-24 00:00:00+00:00,48158,49018.292,-5.294
2017-01-25 00:00:00+00:00,199919,49025,-3.813
2017-01-26 00:00:00+00:00,507316,49025.25,1.201
2017-01-27 00:00:00+00:00,578109,49031,2.084
2017-01-28 00:00:00+00:00,495927,49031.167,0.539
2017-01-29 00:00:00+00:00,345600,49035.125,-1.155
2017-01-30 00:00:00+00:00,445385,49038.167,-1.635
2017-01-31 00:00:00+00:00,251022,49042.083,-2.179
2017-02-01 00:00:00+00:00,340526,49044.417,-0.479
2017-02-02 00:00:00+00:00,117691,49054.25,0.03
2017-02-03 00:00:00+00:00,292185,49060.292,-0.791
2017-02-04 00:00:00+00:00,493660,49067.25,-1.357
2017-02-05 00:00:00+00:00,351172,49073.25,-0.959
2017-02-06 00:00:00+00:00,362081,49079.167,-0.917
2017-02-07 00:00:00+00:00,617208,49083,0.66
2017-02-08 00:00:00+00:00,782350,49083,2.818
2017-02-09 00:00:00+00:00,927505,49083,4.296
2017-02-10 00:00:00+00:00,793495,49083,4.178
2017-02-11 00:00:00+00:00,790925,49083.125,2.198
2017-02-12 00:00:00+00:00,464461,49086,0.996
2017-02-13 00:00:00+00:00,458152,49086.125,2.206
2017-02-14 00:00:00+00:00,184359,49089,2.798
2017-02-15 00:00:00+00:00,216372,49089,3.462
2017-02-16 00:00:00+00:00,373375,49089,4.121
2017-02-17 00:00:00+00:00,218992,49089.167,4.704
2017-02-18 00:00:00+00:00,259182,49093.083,4.884
2017-02-19 00:00:00+00:00,578830,49095,4.484
2017-02-20 00:00:00+00:00,366915,49095,4.415
2017-02-21 00:00:00+00:00,412844,49095,5.786
2017-02-22 00:00:00+00:00,237050,49095.25,4.952
2017-02-23 00:00:00+00:00,211989,49101,0.99
2017-02-24 00:00:00+00:00,99880,49101,3.041
2017-02-25 00:00:00+00:00,117978,49101,5.401
2017-02-26 00:00:00+00:00,80395,49101.125,6.778
2017-02-27 00:00:00+00:00,201884,49104.167,7.261
2017-02-28 00:00:00+00:00,424526,49108,6.719
2017-03-01 00:00:00+00:00,209802,49108,5.467
2017-03-02 00:00:00+00:00,279257,49108,4.973
2017-03-03 00:00:00+00:00,845935,49108.25,7.757
2017-03-04 00:00:00+00:00,944428,49114.25,7.219
2017-03-05 00:00:00+00:00,734927,49120.25,4.619
2017-03-06 00:00:00+00:00,609521,49126,6.99
2017-03-07 00:00:00+00:00,865265,49126.208,8.039
2017-03-08 00:00:00+00:00,794143,49131,5.835
2017-03-09 00:00:00+00:00,925108,49131,6.948
2017-03-10 00:00:00+00:00,536965,49131.25,5.962
2017-03-11 00:00:00+00:00,637039,49137.125,2.549
2017-03-12 00:00:00+00:00,704672,49140.167,4.071
2017-03-13 00:00:00+00:00,954652,49144.458,4.839
2017-03-14 00:00:00+00:00,891204,49155.25,4.64
2017-03-15 00:00:00+00:00,917489,49161,6.964
2017-03-16 00:00:00+00:00,781855,49161,7.655
2017-03-17 00:00:00+00:00,775324,49161,6.46
2017-03-18 00:00:00+00:00,704190,49161,3.505
2017-03-19 00:00:00+00:00,197478,49161.208,3.372
2017-03-20 00:00:00+00:00,247775,49166,5.223
2017-03-21 00:00:00+00:00,217272,49166.25,7.567
2017-03-22 00:00:00+00:00,120366,49172,9.273
2017-03-23 00:00:00+00:00,189999,49172.25,8.179
2017-03-24 00:00:00+00:00,193375,49178.25,6.547
2017-03-25 00:00:00+00:00,583691,49184,4.068
2017-03-26 00:00:00+00:00,452286,49184.417,4.52
2017-03-27 00:00:00+00:00,244070,49194,5.811
2017-03-28 00:00:00+00:00,112574,49194.125,7.447
2017-03-29 00:00:00+00:00,144999,49197,8.964
2017-03-30 00:00:00+00:00,158476,49197.25,10.111
2017-03-31 00:00:00+00:00,268339,49203,8.118
2017-04-01 00:00:00+00:00,321033,49203,6.675
2017-04-02 00:00:00+00:00,440387,49203.167,9.174
2017-04-03 00:00:00+00:00,184057,49205,8.742
2017-04-04 00:00:00+00:00,159442,49205.5,6.624
2017-04-05 00:00:00+00:00,120302,49211,6.938
2017-04-06 00:00:00+00:00,195131,49211,10.18
2017-04-07 00:00:00+00:00,162788,49211.75,10.915
2017-04-08 00:00:00+00:00,224523,49220.333,10.449
2017-04-09 00:00:00+00:00,289901,49224,8.385
2017-04-10 00:00:00+00:00,306573,49224,6.028
2017-04-11 00:00:00+00:00,222908,49224,4.241
2017-04-12 00:00:00+00:00,198175,49224.5,2.907
2017-04-13 00:00:00+00:00,284338,49230,2.544
2017-04-14 00:00:00+00:00,321990,49230,3.896
2017-04-15 00:00:00+00:00,390903,49230.833,7.138
2017-04-16 00:00:00+00:00,427714,49240.583,8.847
2017-04-17 00:00:00+00:00,397092,49247.5,10.481
2017-04-18 00:00:00+00:00,473276,49253.5,11.957
2017-04-19 00:00:00+00:00,314901,49259,13.091
2017-04-20 00:00:00+00:00,173459,49259,12.928
2017-04-21 00:00:00+00:00,155975,49259,13.065
2017-04-22 00:00:00+00:00,530864,49259.25,13.024
2017-04-23 00:00:00+00:00,746865,49262,13.571
2017-04-24 00:00:00+00:00,507702,49262.5,15.285
2017-04-25 00:00:00+00:00,331059,49268,14.347
