utc_timestamp2018,wind_generation_actual2018,wind_capacity2018,temperature2018
2017-04-07 00:00:00+00:00,431217,44841,10.275
2017-04-08 00:00:00+00:00,160398,44841,12.733
2017-04-09 00:00:00+00:00,167152,44841,13.069
2017-04-10 00:00:00+00:00,423244,44842.167,12.519
2017-04-11 00:00:00+00:00,413064,44855.5,10.764
2017-04-12 00:00:00+00:00,477532,44861,12.523
2017-04-13 00:00:00+00:00,312741,44861,11.292
2017-04-14 00:00:00+00:00,242158,44861,11.378
2017-04-15 00:00:00+00:00,65382,44861,12.832
2017-04-16 00:00:00+00:00,81003,44861,12.038
2017-04-17 00:00:00+00:00,99979,44861.5,13.286
2017-04-18 00:00:00+00:00,110034,44867.667,15.236
2017-04-19 00:00:00+00:00,206800,44876.417,16.163
2017-04-20 00:00:00+00:00,183985,44892,17.344
2017-04-21 00:00:00+00:00,87213,44892,15.712
2017-04-22 00:00:00+00:00,185255,44893.333,16.944
2017-04-23 00:00:00+00:00,392314,44908.417,14.294
2017-04-24 00:00:00+00:00,376996,44913,11.912
2017-04-25 00:00:00+00:00,525327,44913.5,12.196
2017-04-26 00:00:00+00:00,453042,44921.417,8.857
2017-04-27 00:00:00+00:00,166315,44948,10.836
2017-04-28 00:00:00+00:00,167368,44948,12.766
2017-04-29 00:00:00+00:00,230286,44948.667,15.211
2017-04-30 00:00:00+00:00,616202,44956,12.784
2017-05-01 00:00:00+00:00,556564,44956,8.762
2017-05-02 00:00:00+00:00,205695,44956.5,10.756
2017-05-03 00:00:00+00:00,186463,44962,11.482
2017-05-04 00:00:00+00:00,158183,44962,11.983
2017-05-05 00:00:00+00:00,210907,44962,13.105
2017-05-06 00:00:00+00:00,232488,44962.417,14.351
2017-05-07 00:00:00+00:00,237968,44967,15.444
2017-05-08 00:00:00+00:00,308091,44967,16.464
2017-05-09 00:00:00+00:00,217018,44967,17.494
2017-05-10 00:00:00+00:00,246078,44967.5,14.515
2017-05-11 00:00:00+00:00,68851,44973,13.753
2017-05-12 00:00:00+00:00,167849,44973,16.567
2017-05-13 00:00:00+00:00,334973,44973,16.277
2017-05-14 00:00:00+00:00,345478,44974,16.207
2017-05-15 00:00:00+00:00,185883,44985.667,14.719
2017-05-16 00:00:00+00:00,261642,44993.75,13.819
2017-05-17 00:00:00+00:00,399395,45004.917,12.356
2017-05-18 00:00:00+00:00,117074,45037,11.795
2017-05-19 00:00:00+00:00,62943,45037,12.728
2017-05-20 00:00:00+00:00,276301,45037,14.405
2017-05-21 00:00:00+00:00,381295,45037.083,16.222
2017-05-22 00:00:00+00:00,166440,45039,16.913
2017-05-23 00:00:00+00:00,251241,45050.583,16.962
2017-05-24 00:00:00+00:00,341783,45058.75,16.986
2017-05-25 00:00:00+00:00,256954,45078.75,18.2
2017-05-26 00:00:00+00:00,128442,45087,19.28
2017-05-27 00:00:00+00:00,175478,45088.583,19.627
2017-05-28 00:00:00+00:00,177523,45106.667,21.321
2017-05-29 00:00:00+00:00,284520,45115.25,21.275
2017-05-30 00:00:00+00:00,102768,45130.25,21.133
2017-05-31 00:00:00+00:00,122405,45145.333,21.668
2017-06-01 00:00:00+00:00,130080,45160,19.621
2017-06-02 00:00:00+00:00,102280,45160,18.299
2017-06-03 00:00:00+00:00,50282,45161.083,19.161
2017-06-04 00:00:00+00:00,119869,45175.25,19.719
2017-06-05 00:00:00+00:00,101162,45202.583,18.802
2017-06-06 00:00:00+00:00,217474,45232.667,19.446
2017-06-07 00:00:00+00:00,129058,45251.667,20.312
2017-06-08 00:00:00+00:00,80923,45259.667,20.752
2017-06-09 00:00:00+00:00,83637,45267,21.18
2017-06-10 00:00:00+00:00,112464,45270.5,20.156
2017-06-11 00:00:00+00:00,186893,45310.917,18.625
2017-06-12 00:00:00+00:00,218306,45336,16.129
2017-06-13 00:00:00+00:00,214736,45383.333,14.114
2017-06-14 00:00:00+00:00,208822,45424,15.773
2017-06-15 00:00:00+00:00,36661,45469.75,17.382
2017-06-16 00:00:00+00:00,71934,45489,19.026
2017-06-17 00:00:00+00:00,211532,45495.167,17.317
2017-06-18 00:00:00+00:00,204361,45565.5,17.522
2017-06-19 00:00:00+00:00,201530,45595.75,18.839
2017-06-20 00:00:00+00:00,196791,45628.75,21.287
2017-06-21 00:00:00+00:00,524114,45667.25,16.689
2017-06-22 00:00:00+00:00,573718,45758,12.433
2017-06-23 00:00:00+00:00,466822,45758,13.114
2017-06-24 00:00:00+00:00,226841,45760.917,14.013
2017-06-25 00:00:00+00:00,197642,45794.667,15.93
2017-06-26 00:00:00+00:00,94463,45816.333,16.763
2017-06-27 00:00:00+00:00,143649,45859.083,17.965
2017-06-28 00:00:00+00:00,206433,45935.333,18.94
2017-06-29 00:00:00+00:00,201327,46040.333,20.404
2017-06-30 00:00:00+00:00,250023,46066.583,19.301
2017-07-01 00:00:00+00:00,279723,46073,17.408
2017-07-02 00:00:00+00:00,140805,46073,18.044
2017-07-03 00:00:00+00:00,82021,46073.25,19.934
2017-07-04 00:00:00+00:00,43893,46076,21.03
2017-07-05 00:00:00+00:00,144743,46077,20.269
2017-07-06 00:00:00+00:00,296642,46088,18.649
2017-07-07 00:00:00+00:00,294703,46089,18.474
2017-07-08 00:00:00+00:00,163116,46100.5,18.766
2017-07-09 00:00:00+00:00,290652,46106,18.406
2017-07-10 00:00:00+00:00,171349,46106.417,15.909
2017-07-11 00:00:00+00:00,120450,46111.583,16.107
2017-07-12 00:00:00+00:00,161337,46118,18.444
2017-07-13 00:00:00+00:00,138913,46118,19.785
2017-07-14 00:00:00+00:00,88859,46118,20.095
2017-07-15 00:00:00+00:00,61068,46119,20.409
2017-07-16 00:00:00+00:00,48543,46130,20.964
2017-07-17 00:00:00+00:00,134185,46130,21.821
2017-07-18 00:00:00+00:00,225995,46130.5,20.493
2017-07-19 00:00:00+00:00,118917,46136,20.627
2017-07-20 00:00:00+00:00,81533,46137.5,21.753
2017-07-21 00:00:00+00:00,77848,46154,20.862
2017-07-22 00:00:00+00:00,74934,46154,20.352
2017-07-23 00:00:00+00:00,43249,46154,21.93
2017-07-24 00:00:00+00:00,35798,46155.333,24.546
2017-07-25 00:00:00+00:00,77376,46170.667,25.729
2017-07-26 00:00:00+00:00,162671,46178,25.878
2017-07-27 00:00:00+00:00,240112,46178.5,25.576
2017-07-28 00:00:00+00:00,236218,46184,23.474
2017-07-29 00:00:00+00:00,136959,46185,22.891
2017-07-30 00:00:00+00:00,103104,46197,26.033
2017-07-31 00:00:00+00:00,136422,46208,26.46
2017-08-01 00:00:00+00:00,93655,46208.667,24.511
2017-08-02 00:00:00+00:00,80175,46216,24.56
2017-08-03 00:00:00+00:00,66133,46218.083,26.115
2017-08-04 00:00:00+00:00,118048,46242.417,25.934
2017-08-05 00:00:00+00:00,197024,46259.75,22.601
2017-08-06 00:00:00+00:00,86471,46280.5,23.736
2017-08-07 00:00:00+00:00,147077,46298.417,26.183
2017-08-08 00:00:00+00:00,286166,46316.417,24.458
2017-08-09 00:00:00+00:00,299829,46343.5,23.428
2017-08-10 00:00:00+00:00,419369,46349,18.551
2017-08-11 00:00:00+00:00,398533,46349,17.612
2017-08-12 00:00:00+00:00,132097,46349,20.133
2017-08-13 00:00:00+00:00,176321,46350.833,19.788
2017-08-14 00:00:00+00:00,299390,46371,19.204
2017-08-15 00:00:00+00:00,115651,46372.417,19.839
2017-08-16 00:00:00+00:00,159090,46390.75,21.847
2017-08-17 00:00:00+00:00,123020,46422.417,21.238
2017-08-18 00:00:00+00:00,156670,46438,20.274
2017-08-19 00:00:00+00:00,184448,46439.417,21.634
2017-08-20 00:00:00+00:00,170463,46455,21.271
2017-08-21 00:00:00+00:00,50278,46456.75,21.084
2017-08-22 00:00:00+00:00,90934,46476.417,23.109
2017-08-23 00:00:00+00:00,150369,46482,22.808
2017-08-24 00:00:00+00:00,327214,46495.75,17.918
2017-08-25 00:00:00+00:00,297177,46529.083,13.858
2017-08-26 00:00:00+00:00,225923,46564.833,14.285
2017-08-27 00:00:00+00:00,507705,46585,16.677
2017-08-28 00:00:00+00:00,93993,46585,17.83
2017-08-29 00:00:00+00:00,183378,46585.5,19.806
2017-08-30 00:00:00+00:00,331214,46594.75,16.575
2017-08-31 00:00:00+00:00,155550,46636,14.628
2017-09-01 00:00:00+00:00,98256,46636,15.024
2017-09-02 00:00:00+00:00,170535,46638.5,16.044
2017-09-03 00:00:00+00:00,167508,46668.75,18.277
2017-09-04 00:00:00+00:00,83124,46701.083,19.006
2017-09-05 00:00:00+00:00,78247,46727.5,19.627
2017-09-06 00:00:00+00:00,116157,46769.583,18.59
2017-09-07 00:00:00+00:00,218439,46809,16.107
2017-09-08 00:00:00+00:00,275988,46810.333,15.311
2017-09-09 00:00:00+00:00,155097,46829,17.408
2017-09-10 00:00:00+00:00,180278,46874.917,17.974
2017-09-11 00:00:00+00:00,434884,46896.167,19.033
2017-09-12 00:00:00+00:00,213161,46902.333,19.007
2017-09-13 00:00:00+00:00,61174,46952.083,15.878
2017-09-14 00:00:00+00:00,146249,46978.5,15.45
2017-09-15 00:00:00+00:00,233765,47021,15.037
2017-09-16 00:00:00+00:00,178312,47069.833,16.324
2017-09-17 00:00:00+00:00,128750,47127.833,18.384
2017-09-18 00:00:00+00:00,357165,47183.25,20.458
2017-09-19 00:00:00+00:00,342514,47215.167,20.553
2017-09-20 00:00:00+00:00,329209,47300,20.365
2017-09-21 00:00:00+00:00,734188,47366,17.129
2017-09-22 00:00:00+00:00,541044,47367.75,12.526
2017-09-23 00:00:00+00:00,382635,47388.75,11.991
2017-09-24 00:00:00+00:00,598468,47412.083,9.127
2017-09-25 00:00:00+00:00,188186,47460.167,8.714
2017-09-26 00:00:00+00:00,492550,47498.75,10.722
2017-09-27 00:00:00+00:00,314308,47547.417,14.563
2017-09-28 00:00:00+00:00,358931,47633.167,11.791
2017-09-29 00:00:00+00:00,207025,47683.25,9.43
2017-09-30 00:00:00+00:00,195832,47730,10.554
2017-10-01 00:00:00+00:00,342987,47730,8.635
2017-10-02 00:00:00+00:00,704392,47730.5,7.788
2017-10-03 00:00:00+00:00,591732,47736.583,10.696
2017-10-04 00:00:00+00:00,218138,47747.917,11.001
2017-10-05 00:00:00+00:00,221463,47803,12.909
2017-10-06 00:00:00+00:00,183958,47816.083,14.854
2017-10-07 00:00:00+00:00,211960,47843.667,11.938
2017-10-08 00:00:00+00:00,198023,47900.25,11.447
2017-10-09 00:00:00+00:00,168321,47959.417,13.028
2017-10-10 00:00:00+00:00,271049,47978.667,14.482
2017-10-11 00:00:00+00:00,378196,48021.083,15.291
2017-10-12 00:00:00+00:00,326377,48046.083,17.106
2017-10-13 00:00:00+00:00,365327,48070,17.127
2017-10-14 00:00:00+00:00,400267,48082.083,16.004
2017-10-15 00:00:00+00:00,153490,48096.083,16.111
2017-10-16 00:00:00+00:00,52173,48119,15.513
2017-10-17 00:00:00+00:00,50383,48120,14.691
2017-10-18 00:00:00+00:00,157001,48131,12.599
2017-10-19 00:00:00+00:00,49804,48131,10.636
2017-10-20 00:00:00+00:00,116323,48132.083,9.428
2017-10-21 00:00:00+00:00,149356,48146.667,9.099
2017-10-22 00:00:00+00:00,338290,48177.417,8.08
2017-10-23 00:00:00+00:00,864205,48193.25,8.852
2017-10-24 00:00:00+00:00,661105,48196.5,10.768
2017-10-25 00:00:00+00:00,576144,48203.333,10.481
2017-10-26 00:00:00+00:00,429065,48218,8.885
2017-10-27 00:00:00+00:00,358255,48218,5.633
2017-10-28 00:00:00+00:00,466233,48218.5,3.328
2017-10-29 00:00:00+00:00,572823,48230,4.243
2017-10-30 00:00:00+00:00,728078,48230.125,6.377
2017-10-31 00:00:00+00:00,438147,48233.667,6.743
2017-11-01 00:00:00+00:00,298990,48249,7.11
2017-11-02 00:00:00+00:00,317434,48249,7.362
2017-11-03 00:00:00+00:00,166184,48249,5.838
2017-11-04 00:00:00+00:00,188301,48249,7.844
2017-11-05 00:00:00+00:00,210980,48249,9.22
2017-11-06 00:00:00+00:00,243394,48249,10.046
2017-11-07 00:00:00+00:00,272715,48249.667,10.011
2017-11-08 00:00:00+00:00,174120,48266.042,8.881
2017-11-09 00:00:00+00:00,242364,48290,8.709
2017-11-10 00:00:00+00:00,491683,48290,9.085
2017-11-11 00:00:00+00:00,529950,48290.333,9.948
2017-11-12 00:00:00+00:00,316067,48298.708,10.624
